Country Name;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Central African Republic;Sub-Saharan Africa;34.18181226;35.76158881;37.70490743;38.48580502;40.80459028;37.66937669;42.5257732;46.89823821;39.63122536;37.59845824;41.56234991;37.42346234;33.81308706;36.48688336;43.33611318;39.91997006;29.32661081;34.32490613;33.88576027;35.13293947;41.08078286;34.0597439;34.2245066;36.61626111;35.50167739;31.63597524;28.62263185;28.5502934;25.05388217;26.46316121;25.87551465;26.12265066;26.36337608;22.88906748;25.01862134;28.25494616;25.61401875;28.9342281;28.3926453;23.98869362;25.2875684;22.5732459;20.14585984;17.99522216;19.24603741;21.70818354;22.07985264;23.4578378;23.43387729;23.23565551;26.50980332;21.85733523;21.63772268;25.00493642;37.56252584;34.57870044;30.01406693;
Canada;North America;18.13555927;18.05176693;17.79289882;17.44946007;18.15451673;18.65312117;19.30630827;19.2523871;19.98266478;21.14291917;19.38059594;19.40821551;20.35352044;21.33904857;23.88963479;23.70728561;22.40859316;22.89373924;24.18568081;25.7979202;25.70881036;25.67191743;21.35878151;21.71764465;24.48641261;25.26828289;26.05281724;24.83363232;25.28711517;24.99469378;24.89491296;24.86482003;26.53756395;29.11276806;31.61909901;32.99238938;33.19035779;36.24187135;38.11404094;38.31676052;38.62025799;36.37011675;35.69828795;33.01560007;32.89259588;32.91473422;32.65183718;32.03887814;32.60109515;29.91249645;30.98877285;31.76399864;32.18353222;31.81005643;32.60296795;33.96920642;33.37747541;
Central Europe and the Baltics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.99146759;27.88467407;32.24821221;30.09077066;29.1772842;34.40393807;36.73513705;39.34789637;39.57350965;39.56298479;44.22779435;44.21783496;43.54750121;45.50665293;48.97130068;49.9075841;54.29545082;55.65858481;55.21421155;47.35408159;53.03898939;57.30283933;58.49358218;58.12528295;59.79015427;59.77534379;59.5910198;
Switzerland;Europe & Central Asia;26.74533092;28.64328651;28.85280936;28.28332618;28.29878621;27.01668257;26.76577952;26.13048391;26.71442059;28.72805516;;;;;;;;;;;49.29035048;48.3830612;44.33942132;44.63659414;45.02222062;45.72791562;43.63845023;40.30958033;41.51619208;44.08178479;41.59232807;38.74893635;38.42151989;37.04925496;36.24914414;36.41364987;37.92931184;42.13131333;42.16448516;42.66280891;45.98769432;45.27436143;42.21604709;41.42145819;42.52151395;46.53934249;48.02666703;50.0072114;52.1182314;49.69971218;53.2865076;57.0306713;56.64875379;59.87160882;52.58640491;50.62987722;54.58890138;
Channel Islands;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;Latin America & Caribbean;15.83278036;15.5244838;12.79813357;14.76883042;13.22659418;12.65381045;13.4044875;12.90648162;13.09852405;14.06410061;13.96933693;12.04259178;13.16157486;15.3879674;19.30379908;26.57162146;20.30689699;22.02142536;23.65739455;25.54806915;26.44874681;26.21654346;21.25208914;21.39706072;24.46083952;24.33277329;24.73353748;25.84909388;25.98106676;29.27290095;29.2511137;26.79327708;27.29225862;27.72838389;25.75178803;26.34090127;28.12243213;28.47616391;28.80003161;26.58113603;28.78412198;30.7444961;30.58979187;30.65724111;29.93129296;31.4569444;29.3035443;31.33841161;39.36560568;29.29642931;31.31860345;34.44370847;34.14998768;32.77400322;32.08169318;29.78845503;27.62337426;
China;East Asia & Pacific;4.428270186;3.489410046;2.908277405;2.85988945;2.864140418;3.189158016;3.235029385;2.976256828;2.918410642;2.405463256;2.460850112;2.132768936;2.507443974;3.758798346;5.403684974;4.849481823;4.326440474;4.086153846;5.094187394;5.923734773;6.513236386;7.44960399;8.673338938;8.403302179;9.505919118;12.37605329;11.16930207;12.37553056;15.68244977;13.26136582;10.65842194;11.46184596;14.48749678;19.35378332;17.23306642;16.32307795;15.89144991;15.0398529;14.08237469;15.36187057;18.51709397;18.21521353;20.10265796;24.82323147;28.44418664;28.3780353;28.44385835;26.71643833;24.93329888;20.14877647;22.6218853;24.10550867;22.699663;22.06025329;21.57190593;18.48913758;17.41531647;
Cote d'Ivoire;Sub-Saharan Africa;22.9045205;28.10353653;25.74692896;23.51986591;24.72276998;30.12421965;28.69635519;28.79128767;27.99496361;27.06979362;29.10763118;28.42732647;29.00665084;33.23197974;38.37618374;36.58478424;36.2477536;36.33056219;37.43549421;37.66260588;41.17866036;42.28419538;39.32679298;35.72031705;31.79127049;32.39760073;30.18144875;29.62025808;27.89014302;29.05520841;27.11162094;26.98609497;28.11557841;25.90606897;29.30925615;34.44304424;32.41828092;35.29209033;34.97024122;34.13761636;33.85677511;32.85029407;32.40131462;33.37607442;38.20167264;44.02427718;42.70214102;42.21164881;40.15876601;39.92478737;43.3267912;37.33487399;44.33195653;38.59577894;25.70871788;25.82751517;20.19786487;
Cameroon;Sub-Saharan Africa;;;;;;24.26064636;23.57723647;22.57924437;24.633204;22.8591363;24.67002097;27.15797275;26.08574991;23.99716818;22.79992343;25.54303477;27.36461919;27.80575609;28.12202863;28.24239492;27.1313909;28.41412507;28.91105566;29.3035876;30.99342605;31.57581732;22.72443642;20.62603884;15.96163399;17.76944715;17.31353104;14.63989889;18.31556992;12.53476986;18.94761842;17.61302801;23.17733982;24.96267072;22.46801742;20.31852628;24.94465955;28.28572047;27.54591723;25.71369995;24.2256192;26.37058565;26.30851337;29.60777145;32.92190211;26.36925342;26.95171122;31.00422527;30.26891355;30.03771287;30.12672029;27.60954078;23.41327725;
Congo. Dem. Rep.;Sub-Saharan Africa;19.41666384;9.387166988;7.441266222;31.6826433;37.30447811;27.23322405;38.02088725;16.37136248;15.30186896;14.22880816;18.22372343;18.53598408;15.7774083;15.87628013;19.03047961;15.0909308;19.6491671;19.67275174;9.197370217;10.04147165;16.35190883;17.14197594;13.95259513;17.29085222;26.11730592;25.63433752;24.03150594;28.86172178;27.82202362;24.83868991;29.20456785;24.12483134;17.52430141;9.10913192;19.89139135;23.72624359;30.31349366;15.00000019;32.88921844;17.5419909;15.56479089;13.05425268;13.64550284;30.03091314;26.60690111;23.56057647;25.32431677;46.69287079;46.10118874;36.89515215;48.43625438;49.64383765;39.4699224;41.79748636;42.32527976;38.80501899;34.08866743;
Congo. Rep.;Sub-Saharan Africa;85.60716676;83.66120209;62.95171441;57.8475221;56.44901093;53.08640883;51.10701107;55.82194449;57.23474277;56.89408238;57.76314474;52.64936213;51.78744928;43.37747517;59.47473385;63.74695864;66.55574043;65.26595745;61.06908724;48.62745098;60.12763596;76.09377884;68.50704225;51.76426426;45.62336985;56.00535641;53.66853395;38.62088635;40.42488619;34.8288073;19.04199475;28.04995447;16.44860896;31.33982371;74.21922717;63.6079341;59.94944987;60.16154016;72.62403269;59.10411923;43.61273719;53.31245423;53.93964559;76.04941174;50.83840588;54.5053942;65.61996668;53.52311323;47.0024926;50.20542228;54.69792897;57.83572831;60.32926753;66.0719813;70.25263291;96.37029556;79.4347017;
Colombia;Latin America & Caribbean;14.72166116;13.7919301;12.19517276;12.34356738;12.61192135;10.40254878;15.07574142;11.46014754;14.29087021;14.37294564;15.81706398;16.67885442;14.76684211;14.39381498;15.50945425;14.07032236;13.90271836;13.26761941;13.74401168;13.45875774;15.57819767;15.43293171;15.17640251;13.22795979;12.47217738;12.52546653;11.99338947;12.91871399;13.86030032;13.81661281;14.82095023;13.90830836;15.75710185;18.75932586;20.91917562;20.96348743;20.84464548;20.75552435;20.90157222;17.80270056;16.75194575;18.51397603;18.16706954;19.94088381;19.09267551;18.78432249;20.53644458;19.79066142;20.26257741;18.24919201;17.76486262;19.9327627;20.0373359;20.12605261;21.38323658;23.37285065;20.72530211;
Comoros;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;51.94297481;49.21258735;53.83915881;53.68269884;55.53568264;50.05832724;41.49280391;42.50021269;41.77131259;39.28892458;37.14634075;38.20766911;41.85046411;37.71170543;47.24825794;44.56641939;41.38094807;43.0239321;37.25695938;33.91352571;28.11037253;29.52323496;28.16421151;31.86839378;32.46325342;36.38054977;38.33119851;41.37728048;48.80684024;48.38572412;51.67938449;52.23686912;56.31738487;59.85169089;60.29883327;47.2851598;43.74482203;
Cabo Verde;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;66.97581383;70.69524976;79.18849144;77.80882119;77.70039912;79.18280638;75.44266185;65.73357786;59.4939626;62.21234741;68.81961456;64.38989577;66.65688238;47.04560093;56.5171425;60.37859869;55.2908103;58.53761985;59.08526088;59.99307434;60.51338982;62.35430961;68.54474558;67.40402964;69.56299692;66.5664794;72.68449197;66.20682865;63.08841119;56.95978353;61.76802793;64.32991021;59.84533756;54.84664594;60.68543339;;;
Costa Rica;Latin America & Caribbean;26.17725739;25.39857038;26.34470893;27.43376683;28.75396278;33.48351363;30.84367274;31.62778585;32.91005974;32.3342717;34.98965545;37.64046676;37.10533363;37.22152112;48.34098722;38.54777822;34.91071553;36.33477455;36.03144933;37.19335792;36.81902092;48.17617916;42.16487127;30.85684874;29.030581;28.7203541;26.95435009;30.7329857;31.5732972;34.09079322;36.2817317;38.17828084;40.98413502;43.52207313;42.33129265;41.88070865;44.27315657;46.23331088;48.31119216;45.16846736;43.78156804;40.50342684;41.37414649;42.84389942;43.23849908;45.97004996;46.7326206;46.11585137;47.88861395;35.33774801;35.04561836;36.59448592;35.97496794;34.28535714;34.73681171;31.87249017;31.91375768;
